Strategy,Date Opened,Time Opened,Opening Price,Legs,Initial Premium,No. of Contracts,P/L,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close
Charle Bronson RIC ,12/24/2025,9:32:00,6910.69,1 Dec 24 6915 C BTO 4.45 | 1 Dec 24 6905 P BTO 3.75 | 1 Dec 24 6920 C STO 2.70 | 1 Dec 24 6900 P STO 2.55,-305,1,190,6932.05,12/24/2025,13:00:00,-500,Expired
In Harm's Way - ORB,12/23/2025,11:15:00,6893.69,1 Dec 23 6890 C BTO 7.35 | 1 Dec 23 6895 C STO 4.35,-320,1,177.5,6909.79,12/23/2025,16:00:00,-500,Expired
In Harm's Way - ORB,12/19/2025,11:15:00,6825.95,1 Dec 19 6825 C BTO 11.55 | 1 Dec 19 6830 C STO 8.75,-300,1,197.5,6834.5,12/19/2025,16:00:00,-500,Expired
In Harm's Way - ORB,12/18/2025,11:15:00,6808.61,1 Dec 18 6805 C BTO 13.15 | 1 Dec 18 6810 C STO 10.15,-320,1,-322.5,6774.76,12/18/2025,16:00:00,0,Expired
Early Morning Fishing,12/18/2025,10:37:00,6806.14,1 Dec 18 6795 P STO 9.60 | 1 Dec 18 6790 P BTO 8.25,130,1,-372.24,6774.76,12/18/2025,16:00:00,500,Expired
Charle Bronson RIC ,12/18/2025,9:32:00,6793.53,1 Dec 18 6830 C BTO 3.55 | 1 Dec 18 6735 P BTO 4.40 | 1 Dec 18 6835 C STO 2.70 | 1 Dec 18 6730 P STO 3.85,-150,1,-155,6774.76,12/18/2025,16:00:00,0,Expired
Charle Bronson RIC ,12/17/2025,9:32:00,6808.7,1 Dec 17 6845 C BTO 3.80 | 1 Dec 17 6760 P BTO 4.15 | 1 Dec 17 6850 C STO 2.80 | 1 Dec 17 6755 P STO 3.60,-165,1,330,6721.43,12/17/2025,16:00:00,-500,Expired
SAC 2/4,12/15/2025,15:45:00,610.89,1 Dec 17 603 P STO 1.16 | 1 Dec 17 618 C STO 0.88 | 1 Dec 19 603 P BTO 2.65 | 1 Dec 19 618 C BTO 2.45,-308,1,41,601.33,12/17/2025,14:34:00,-353,Above Delta
SAC 5/7,12/12/2025,15:00:00,614.41,1 Dec 17 624 C STO 1.23 | 1 Dec 17 603 P STO 1.53 | 1 Dec 19 624 C BTO 2.34 | 1 Dec 19 603 P BTO 2.65,-225,1,134,601.74,12/17/2025,15:40:00,-363,Exited at Specified Time
Early Morning Fishing,12/11/2025,11:47:00,6879.73,1 Dec 11 6870 P STO 5.95 | 1 Dec 11 6865 P BTO 4.65,125,1,122.76,6901,12/11/2025,16:00:00,0,Expired
In Harm's Way - ORB,12/9/2025,11:15:00,6859.82,1 Dec 9 6860 C BTO 7.35 | 1 Dec 9 6865 C STO 4.95,-260,1,-262.5,6840.51,12/9/2025,16:00:00,0,Expired
SAC 2/4,12/8/2025,15:45:00,622.84,1 Dec 10 615 P STO 1.16 | 1 Dec 10 630 C STO 0.91 | 1 Dec 12 615 P BTO 2.73 | 1 Dec 12 630 C BTO 2.60,-328,1,-6,628.42,12/10/2025,15:30:00,-326,Exited at Specified Time
SAC 5/7,12/5/2025,15:00:00,625.79,1 Dec 10 634 C STO 1.09 | 1 Dec 10 616 P STO 1.41 | 1 Dec 12 634 C BTO 2.44 | 1 Dec 12 616 P BTO 2.57,-253,1,-62,628.51,12/10/2025,15:31:00,-195,Below Short/Long Ratio
SAC The Longest Day,12/5/2025,12:00:00,625.58,1 Dec 12 607 P STO 1.44 | 1 Dec 12 641 C STO 0.98 | 1 Jan 2 607 P BTO 5.94 | 1 Jan 2 641 C BTO 5.54,-909,1,-54,613.65,12/12/2025,15:48:00,-859,Exited at Specified Time
